video_id,label,place,video_no,frame_count,width,height
1_1_14,1,1,14,265,856,480
1_1_16,1,1,16,337,856,480
0_1_2,0,1,2,481,856,480
1_1_26,1,1,26,505,856,480
1_1_29,1,1,29,313,856,480
0_1_3,0,1,3,768,856,480
1_1_30,1,1,30,409,856,480
0_1_5,0,1,5,673,856,480
1_1_54,1,1,54,577,856,480
1_1_63,1,1,63,193,856,480
0_1_7,0,1,7,577,856,480
1_1_73,1,1,73,289,856,480
1_1_76,1,1,76,265,856,480
0_1_9,0,1,9,859,856,480
0_1_10,0,1,10,860,856,480
0_1_11,0,1,11,737,856,480
1_1_129,1,1,129,241,856,480
0_1_13,0,1,13,737,856,480
1_1_130,1,1,130,337,856,480
1_1_131,1,1,131,289,856,480
1_1_132,1,1,132,265,856,480
1_1_133,1,1,133,217,856,480
1_1_134,1,1,134,433,856,480
1_1_138,1,1,138,313,856,480
0_1_14,0,1,14,737,856,480
1_1_140,1,1,140,241,856,480
0_1_15,0,1,15,739,856,480
0_1_16,0,1,16,601,856,480
1_1_163,1,1,163,265,856,480
0_1_17,0,1,17,840,856,480
0_1_19,0,1,19,577,856,480
0_1_20,0,1,20,817,856,480
0_1_22,0,1,22,481,856,480
0_1_23,0,1,23,1297,856,480
0_1_24,0,1,24,673,856,480
0_1_25,0,1,25,763,856,480
0_1_29,0,1,29,967,856,480
0_1_31,0,1,31,471,856,480
0_1_33,0,1,33,889,856,480
0_1_35,0,1,35,817,856,480
0_1_36,0,1,36,471,856,480
0_1_37,0,1,37,831,856,480
0_1_41,0,1,41,877,856,480
0_1_42,0,1,42,877,856,480
0_1_44,0,1,44,457,856,480
0_1_46,0,1,46,1057,856,480
0_1_48,0,1,48,1057,856,480
0_1_49,0,1,49,804,856,480
0_1_51,0,1,51,961,856,480
0_1_54,0,1,54,1057,856,480
0_1_60,0,1,60,577,856,480
0_1_62,0,1,62,745,856,480
0_1_63,0,1,63,1369,856,480
0_1_66,0,1,66,1383,856,480
0_1_67,0,1,67,1383,856,480
0_1_68,0,1,68,1023,856,480
0_1_69,0,1,69,1225,856,480
0_1_70,0,1,70,1047,856,480
0_1_73,0,1,73,1039,856,480
0_1_83,0,1,83,889,856,480
0_2_2,0,2,2,908,856,480
0_2_4,0,2,4,1431,856,480
0_2_5,0,2,5,361,856,480
0_2_6,0,2,6,450,856,480
0_2_10,0,2,10,325,856,480
0_2_11,0,2,11,275,856,480
1_2_128,1,2,128,457,856,480
0_2_13,0,2,13,575,856,480
0_2_14,0,2,14,250,856,480
1_2_164,1,2,164,361,856,480
0_3_1,0,3,1,325,856,480
0_3_3,0,3,3,350,856,480
1_3_35,1,3,35,385,856,480
1_3_36,1,3,36,457,856,480
1_3_39,1,3,39,481,856,480
0_3_4,0,3,4,525,856,480
1_3_41,1,3,41,457,856,480
0_3_6,0,3,6,275,856,480
1_3_60,1,3,60,385,856,480
1_3_61,1,3,61,241,856,480
1_4_1,1,4,1,553,856,480
1_4_3,1,4,3,937,856,480
0_4_1,0,4,1,575,856,480
1_4_10,1,4,10,505,856,480
1_4_13,1,4,13,361,856,480
0_4_3,0,4,3,913,856,480
0_4_4,0,4,4,865,856,480
